ID_CLIENTE,TOTAL_RECARGA,TOTAL_TRANSACCION_RECARGA,PRODUCTO_PRINCIPAL,FRECUENCY,MONETARY,RECENCY,EDAD,DIAS_CON,FLG_FELICIDAD
773862,20.0,1,7,5,5,1,29,2,0
1168116,160.0,3,3,3,5,1,24,105,0
2393968,300.0,1,9,5,4,1,38,0,0
1130063,40.0,1,1,5,5,1,36,44,0
1175630,25.0,1,6,4,5,1,29,483,1
960602,210.0,4,3,2,4,1,58,1256,1
1768283,20.0,1,3,3,5,1,34,306,0
1565411,290.0,3,4,4,4,1,35,164,0
2116428,355.0,22,3,1,4,1,25,64,1
2059470,15.0,1,3,5,5,1,22,35,1
82066,100.0,1,4,5,5,1,47,1383,1
1039083,20.0,1,7,4,5,1,55,1030,0
540380,995.0,15,3,3,3,1,25,94,1
1177246,3000.0,15,9,2,3,1,60,910,1
1264207,5061.0,37,3,2,3,1,30,786,1
1379143,335.0,13,3,3,4,1,34,1127,0
2385573,300.0,1,3,5,4,1,53,1,0
1634465,30.0,2,9,3,5,1,41,388,1
1078304,24306.0,22,4,1,1,1,37,1372,1
1330058,40.0,2,2,5,5,1,29,708,0
1593692,340.0,8,3,1,3,1,46,440,1
1261092,45.0,2,4,4,5,1,28,763,1
820719,570.0,7,4,4,4,1,33,710,1
1838728,1648.0,42,3,1,3,1,33,260,1
2101031,50.0,1,3,2,4,1,41,130,1
2018206,30.0,1,6,5,5,1,58,81,1
1456139,20.0,1,4,5,5,1,22,16,1
1081200,500.0,5,4,4,4,1,70,993,1
1811652,101.0,1,9,5,5,1,32,183,1
546207,20.0,1,4,5,5,1,35,1391,0
723482,60.0,2,3,3,5,1,33,935,1
744255,600.0,12,3,2,3,1,33,333,1
2003181,65.0,2,3,4,5,1,33,151,1
1309302,15.0,1,1,4,5,1,36,675,0
1910292,101.0,1,9,5,5,1,40,114,1
1622412,50.0,2,5,3,5,1,32,408,0
323058,1021.0,3,3,1,2,1,43,1569,1
2106183,90.0,2,3,3,5,1,23,133,1
1663132,15.0,1,4,3,5,1,29,280,1
1244336,20.0,1,2,4,5,1,54,795,0
1771343,60.0,3,4,5,5,1,56,0,1
1669048,20.0,1,6,4,5,1,28,314,0
2061279,120.0,6,3,2,5,1,41,129,1
650107,15.0,1,1,5,5,1,48,686,0
1981597,795.0,28,3,2,3,1,38,170,1
1441805,140.0,3,3,2,5,1,49,192,0
1654707,3080.0,153,4,1,3,1,53,383,1
1464184,395.0,9,3,2,3,1,31,578,1
1695527,80.0,4,3,1,5,1,60,349,1
1945056,1085.0,23,3,2,3,1,25,190,1
990854,180.0,2,3,3,5,1,30,947,0
2379123,20.0,1,9,4,5,1,51,23,1
2382489,300.0,1,3,5,4,1,21,0,1
1557843,105.0,5,4,4,5,1,52,467,0
1030044,503.0,19,3,1,3,1,41,1057,1
2094551,60.0,4,3,2,5,1,18,56,1
2162202,80.0,4,3,5,5,1,36,29,1
1357951,230.0,1,3,2,3,1,24,649,1
1320443,15.0,1,4,5,5,1,28,533,0
990639,35.0,2,4,3,4,1,31,1110,1
963055,8740.0,11,4,3,1,1,22,1256,1
1158323,200.0,2,3,1,4,1,34,931,1
1271588,930.0,16,6,3,4,1,42,1500,1
1449636,50.0,2,5,2,5,1,25,471,0
960493,870.0,13,3,2,3,1,42,670,1
1119570,380.0,18,3,3,4,1,28,648,0
1241211,714.0,7,4,4,3,1,31,256,1
1050030,75.0,5,4,2,4,1,42,1097,1
62198,2530.0,9,3,2,3,1,40,1155,1
2143394,15.0,1,6,5,5,1,28,0,0
1474317,100.0,5,3,2,5,1,34,195,1
716264,20.0,1,4,4,5,1,51,1246,1
2011121,100.0,1,4,5,4,1,28,56,1
1986732,75.0,5,9,3,5,1,23,155,1
1029681,15.0,1,3,3,5,1,31,1061,0
1559186,60.0,2,1,5,5,1,32,14,1
2388833,300.0,1,4,5,4,1,53,1,0
1240974,30.0,1,6,5,5,1,33,2,0
1096575,1105.44,4,3,1,3,1,38,938,1
1310467,3136.08,12,3,3,3,1,25,686,0
722801,289.0,13,3,1,3,1,50,1289,1
704747,40.0,2,3,4,4,1,31,1568,0
567103,162.0,7,2,4,5,1,37,1224,0
1161068,480.0,15,3,3,4,1,27,883,1
926198,82.0,2,6,4,5,1,30,223,0
1393273,444.94,15,3,2,4,1,22,353,1
1187953,100.0,5,5,2,5,1,34,508,1
1797057,100.0,1,4,5,5,1,26,194,1
1631346,35.0,2,3,4,5,1,24,295,1
1934807,130.0,8,3,2,5,1,32,192,1
2092315,680.0,16,3,2,3,1,22,108,1
857375,408.0,6,3,2,3,1,23,378,1
2091937,20.0,1,3,3,5,1,19,46,0
1807785,30.0,1,1,5,5,1,28,51,1
1513167,15.0,1,3,5,5,1,31,203,0
1313894,2660.0,28,4,3,3,1,45,616,1
1059311,1221.0,34,9,2,3,1,48,1045,1
2386562,30.0,1,6,4,5,1,38,4,0
1527759,165.0,3,3,2,2,1,20,512,1
1018080,126.0,5,3,3,5,1,45,1020,1
1816677,101.0,1,9,5,5,1,29,181,1
2394984,135.0,1,3,5,5,1,37,1,1
